Id,Name,Description,Source,Properties
protection-dome,Protection Dome,"Magical dome that protects all allies inside it, decreasing all damage received by <defense>{defense}%</>. Also slows the movement and attack speeds of all enemies who dare to enter.<break>Enemy projectiles are destroyed by the dome.<break><break>Will last for <time>{duration} sec</>. <break><break>Costs 5 Energy<break>Cooldown 90 sec.",melee-tank,"{""defense"":[{""Time"":1,""Value"":0},{""Time"":4,""Value"":0}],""duration"":[{""Time"":1,""Value"":6},{""Time"":4,""Value"":12}]}"
shield-toss,Shield Toss,"Throw shield forward and back like a boomerang.

Hitting an enemy <yellow>Stuns</> and deals <damage-wp>{damage} Physical Damage</> to them and all nearby enemies.

Cooldown: <time>{cooldown} seconds</>",melee-tank,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":2,""Value"":10},{""Time"":3,""Value"":9},{""Time"":4,""Value"":9},{""Time"":5,""Value"":8},{""Time"":6,""Value"":8}]}"
skewer,Stabby Stab,"Stab sword in a target direction, dealing <damage-wp>{damage} Physical Damage</> to enemies hit.

The first enemy hit takes double damage.

Cooldown: <time>{cooldown} seconds</>",mini-tank,"{""cooldown"":[{""Time"":1,""Value"":14},{""Time"":6,""Value"":9}]}"
summon-ancestor-fighter,Final Lesson - Fighter Stance,"Summon the spirit of Mini Tank's former master who charges forward with his sword, dealing <damage-wp>{damage} Physical Damage</> and applying a <defense>{armourdebuff}% Armour</> debuff for 5 seconds to all enemies hit.

This ability shares a cooldown with the Tank Stance version.

Cooldown: <time>{cooldown} seconds</>",mini-tank,"{""armourdebuff"":[{""Time"":1,""Value"":30},{""Time"":3,""Value"":50},{""Time"":6,""Value"":50}],""cooldown"":[{""Time"":1,""Value"":120},{""Time"":3,""Value"":80},{""Time"":6,""Value"":80}]}"
upward-slash,Punching Up,"Swing sword upward, dealing <damage-wp>{damage} Physical Damage</> to enemies hit and knocking them into the air and towards a target location.

Cooldown: <time>{cooldown} seconds</>",mini-tank,"{""cooldown"":[{""Time"":1,""Value"":18},{""Time"":6,""Value"":13}]}"
whirlwind,Whirlwind,"Swing sword in a circle 6 times over 3 seconds, dealing <damage-wp>{damage} Physical Damage</> to enemies hit with each swing.

If an enemy is hit 3 times by Whirlwind, they will have their <defense>Armour</> reduced by <defense>{armourdebuff}%</> for 3 seconds.

<red>Recast</> to cancel ability.

Cooldown: <time>{cooldown} seconds</>",mini-tank,"{""armourdebuff"":[{""Time"":1,""Value"":25},{""Time"":6,""Value"":25}],""cooldown"":[{""Time"":1,""Value"":11},{""Time"":6,""Value"":6}]}"
stance-swap,Passive: Stance Swap,"Change between Fighter and Tank stances, altering the effects of your abilities.

While in Fighter Stance, <damage-wp>Damage</> is increased by <damage-wp>10%</> while in Tank Stance, gain <defense>10% Damage Mitigation</>.

Cooldown: <time>2 seconds</>",mini-tank,
bash,Shield Wave,"Smash shield into the ground, sending a shockwave in a target direction that deals <damage-wp>{damage} Physical Damage</> and applies a <speed>{slow}% Slow</> for 3 seconds to enemies hit.

Cooldown: <time>{cooldown} seconds</>",mini-tank,"{""cooldown"":[{""Time"":1,""Value"":14},{""Time"":6,""Value"":9}],""slow"":[{""Time"":1,""Value"":25},{""Time"":6,""Value"":50}]}"
meteor-smash,Meteor Smash,"Leap to a target location, dealing <damage-sp>{damage} Magical Damage</> and <yellow>Stunning</> enemies in the area for 0.5 seconds.

Cooldown: <time>{cooldown} seconds</>",mini-tank,"{""cooldown"":[{""Time"":1,""Value"":18},{""Time"":6,""Value"":13}]}"
shield-spin,Over Here!,"Swing shield around in a circle once, dealing <damage-sp>{damage} Magical Damage</> and <yellow>Taunting</> all enemies hit.

Cooldown: <time>{cooldown} seconds</>",mini-tank,"{""cooldown"":[{""Time"":1,""Value"":11},{""Time"":6,""Value"":6}]}"
summon-ancestor-tank,Final Lesson - Tank Stance,"Summon the spirit of Mini Tank's former master who charges forward with his shield, dealing <damage-sp>{damage} Magic Damage</> and applying a <speed>{slow}% Movement Speed</> and <attackspeed>Attack Speed</> slow to all enemies hit.

This ability shares a cooldown with the Fighter Stance version.

Cooldown: <time>{cooldown} seconds</>",mini-tank,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":3,""Value"":80},{""Time"":6,""Value"":80}],""slow"":[{""Time"":1,""Value"":40},{""Time"":3,""Value"":80},{""Time"":6,""Value"":80}]}"
movement-d-p-s-backlash,Backlash,"Consumes all Momentum instantly, attacking a single target for <damage-wp>{normaldamage} Physical Damage</> per point of Momentum consumed.

Generates {cost} Momentum
Cooldown: <time>{cooldown} seconds</>",movement-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":6},{""Time"":3,""Value"":6},{""Time"":4,""Value"":4},{""Time"":5,""Value"":4},{""Time"":6,""Value"":3}],""cost"":[{""Time"":1,""Value"":25},{""Time"":6,""Value"":25}]}"
movement-d-p-s-phase-clone,Phase Clone,"Create a clone that <yellow>Taunts</> enemies. It will then explode dealing <damage-wp>{damage} Physical Damage</> to all enemies in range.

Generates 35 Momentum
Cooldown: <time>{cooldown} seconds</>",movement-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":110},{""Time"":3,""Value"":90},{""Time"":6,""Value"":90}]}"
movement-d-p-s-slash,Slash,"Lunge forward a short distance dealing <damage-wp>{damage} Physical Damage</> to all enemies caught in the Slash.

Generates 35 Momentum
Cooldown: <time>{cooldown} seconds</>",movement-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":2,""Value"":8},{""Time"":3,""Value"":7},{""Time"":4,""Value"":7},{""Time"":6,""Value"":5}]}"
movement-d-p-s-passive,Passive: Critical Strikes,"All of Shadow Blade's attacks have a +<crit>10%</> chance to deal <crit>Critical Damage</>.

Shadow Blade deals <damage-wp>{crit}% Physical Damage</> when attacking from behind.",movement-d-p-s,"{""crit"":[{""Time"":1,""Value"":110},{""Time"":6,""Value"":110}]}"
teleport-d-p-s,Teleport,"Blink to the targeted location.

Generates 15 Momentum
Cooldown: <time>{cooldown} seconds</>",movement-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":6},{""Time"":2,""Value"":6},{""Time"":3,""Value"":5},{""Time"":4,""Value"":5},{""Time"":5,""Value"":4},{""Time"":6,""Value"":4}]}"
hyper-dash,Hyperdash,"Dash forward pulling enemies towards Blink Boxer.

At the end of the dash, gain a <shield>Shield</> equal to <health>25% Max Health</> for 5 seconds.

Generates 40 Momentum
Cooldown: Cooldown: <time>{cooldown} seconds</>",movement-tank,"{""cooldown"":[{""Time"":1,""Value"":9},{""Time"":3,""Value"":9},{""Time"":4,""Value"":7},{""Time"":5,""Value"":7},{""Time"":6,""Value"":5}],""defense"":[{""Time"":1,""Value"":5},{""Time"":4,""Value"":35}]}"
movement-tank-passive,Passive: Momentum Barrier,Gain an increase to <attackspeed>Attack Speed</> based on how high Blink Boxer's Momentum is.,movement-tank,
pummel,Pummel,"<red>Hold</> this ability to throw a sustained flurry of punches at all enemies in range, dealing <damage-wp>{damage} Physical Damage</> every 0.5 seconds (modified by your <attackspeed>Attack Speed</>).

Every punch deals 5% more damage.

Cost: {cost} Momentum per second
Cooldown: <time>{cooldown} seconds</>",movement-tank,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":6,""Value"":3}],""cost"":[{""Time"":1,""Value"":5},{""Time"":2,""Value"":10},{""Time"":6,""Value"":10}]}"
sonic-boom,Sonic Boom,"Launch a massive magical fist that causes <damage-sp>{damage} Magical Damage</> and a <time>{duration} second</> <yellow>Stun</> to all enemies caught in its path.

Generates 25 Momentum
Cooldown: <time>{cooldown} seconds</>",movement-tank,"{""cooldown"":[{""Time"":1,""Value"":100},{""Time"":4,""Value"":70}],""duration"":[{""Time"":1,""Value"":5},{""Time"":4,""Value"":8}]}"
uppercut,Uppercut,"A devastating punch that deals <damage-wp>{damage} Physical Damage</> and <yellow>Stuns</> enemies for <time>{duration} second(s)</>.

Generates 25 Momentum
Cooldown: <time>{cooldown} seconds</>",movement-tank,"{""chance"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":40}],""cooldown"":[{""Time"":1,""Value"":9},{""Time"":6,""Value"":4}],""duration"":[{""Time"":1,""Value"":2},{""Time"":6,""Value"":2}]}"
dawn-to-dusk,Dawn to Dusk,"Enter a state of concentration that increases vision range. Left-click up to 3 times to fire enchanted arrows, each with a different effect.

The first will deal <damage-sp>{lowdamage} Magical Damage</> and reduce enemy's <defense>Armor</> by <defense>30%</> for 6 seconds.

The second will deal <damage-sp>{lowdamage} Magical Damage</> while <yellow>Rooting</> all enemies hit.

The last shot will finish with a massive explosion, dealing <damage-wp>{highdamage} Physical Damage</> to all enemies hit.

Cooldown: <time>{cooldown} seconds</>",ranged-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":2,""Value"":90},{""Time"":4,""Value"":60},{""Time"":5,""Value"":37.5},{""Time"":6,""Value"":18}]}"
ranged-d-p-s-passive,Passive: Hunter's Zenith,"Basic attacking 5 times will grant the Hunter's Zenith buff, which will improve the next ability used.

Solar Shot: Increases damage by 50%
Tracer Arrows: Increases duration by 2 seconds
Skypiercer: Blinds enemies",ranged-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}],""damage"":null}"
skypiercing,Skypiercer,"Call down a solar flare that lasts for <time>5 seconds</> and damages all enemies inside it for <damage-sp>{damage} Magical Damage</> every second.

Cooldown: <time>{cooldown} seconds</>",ranged-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":3,""Value"":8},{""Time"":4,""Value"":6},{""Time"":5,""Value"":6},{""Time"":6,""Value"":5}]}"
solar-shot,Solar Shot,"Charge your bow to shoot a piercing arrow in the target direction, dealing <damage-wp>{normaldamage} Physical Damage</> to all enemies in it's path and generating 2 Focus per enemy hit.

Enemies hit at the end of the shot take <damage-wp>{aimeddamage} Physical Damage</> and the user generates 5 Focus per enemy hit.

Cooldown: <time>{cooldown} seconds</>",ranged-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":7},{""Time"":2,""Value"":7},{""Time"":3,""Value"":6},{""Time"":4,""Value"":6},{""Time"":5,""Value"":5},{""Time"":6,""Value"":5}]}"
solar-shot-densified-sunbean,Solar Shot,"Charge your bow to shoot a piercing arrow in the target direction, dealing <damage>{normaldamage} damage</> to the first enemie it hits and generating 2 Focus.<break><break>If the Enemy is hit at the correct charged distance are hit for <damage>{aimeddamage} damage</> and the user generates 5 Focus. Additionally, this damage is <damage>50%</> higher if used during Hunter's Zenith. <break><break>This shot is always a guaranteed Critical Hit<break><break>Cooldown {cooldown} sec",ranged-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":7},{""Time"":2,""Value"":7},{""Time"":3,""Value"":6},{""Time"":4,""Value"":6},{""Time"":5,""Value"":5},{""Time"":6,""Value"":5}]}"
tracer-arrows,Tracer Arrows,"Empower your basic attacks for the next <time>{duration} seconds</>, causing them to deal <damage-wp>{damage} Physical Damage</> while also reducing target <defense>Armor</> by <defense>{debuff}%</>.

Cooldown: <time>{cooldown} seconds</>",ranged-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":3,""Value"":10},{""Time"":4,""Value"":8},{""Time"":5,""Value"":8},{""Time"":6,""Value"":6}],""debuff"":[{""Time"":1,""Value"":5},{""Time"":3,""Value"":7},{""Time"":5,""Value"":11},{""Time"":6,""Value"":14}],""duration"":[{""Time"":1,""Value"":2},{""Time"":6,""Value"":4.5}]}"
clip-change,Passive: Ammo Swap,"<red>Switch</> between <health>Healing</> and <damage-sp>Damage</> mode.

Damage mode abilities scale with Weapon Power while Healing mode abilities scale with Spell Power.

Cooldown: <time>{cooldown} seconds</>",ranged-healer,"{""cooldown"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}]}"
gatling-gun-damage,Gatling Gun,"Fire a barrage of 50 bullets towards a target location over 5 seconds while slowly walking backwards.

Each healing shot will heal allies for <healing>{heal} Health</>.
Each damage shot will deal <damage-wp>{damage} damage</> to enemies hit.

Cooldown: <time>{cooldown} seconds</>.",ranged-healer,"{""cooldown"":[{""Time"":1,""Value"":90},{""Time"":3,""Value"":60},{""Time"":6,""Value"":60}]}"
gatling-gun-healing,Gatling Gun,"Fire a barrage of 50 bullets towards a target location over 5 seconds while slowly walking backwards.

Each healing shot will heal allies for <healing>{heal} Health</>.
Each damage shot will deal <damage-wp>{damage} damage</> to enemies hit.

Cooldown: <time>{cooldown} seconds</>.",ranged-healer,"{""cooldown"":[{""Time"":1,""Value"":90},{""Time"":3,""Value"":60},{""Time"":6,""Value"":60}]}"
ray-shot-damage,UnknownNameProperty,UnknownDescriptionProperty,ranged-healer,
ray-shot-healing,Ray Shot,"Fire a beam that either heals allies or hurts enemies, depending on its active mode.

Healing beam heals for <health>{healing} Health</>.
Damage beam deals <damage-sp>{damage} Magical Damage</>.

Firing Ray Shot grants a small <health>Heal</> to Phoenix Ranger.

Cooldown: <time>{cooldown} seconds</>",ranged-healer,"{""cooldown"":[{""Time"":1,""Value"":6},{""Time"":2,""Value"":6},{""Time"":3,""Value"":5},{""Time"":4,""Value"":5},{""Time"":5,""Value"":4},{""Time"":6,""Value"":4}]}"
shotgun-damage,Double Barrel,"Fire two shotgun blasts in a cone towards a target location.

The healing shot will heal allies hit for <healing>{heal} Health</>.
The damage shot will deal <damage-wp>{damage} damage</> to enemies hit.

Cooldown: <time>{cooldown} seconds</>",ranged-healer,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":2,""Value"":8},{""Time"":3,""Value"":7},{""Time"":4,""Value"":7},{""Time"":5,""Value"":6},{""Time"":6,""Value"":6}]}"
shotgun-healing,Double Barrel,"Fire two shotgun blasts in a cone towards a target location.

The healing shot will heal allies hit for <healing>{heal} Health</>.
The damage shot will deal <damage-wp>{damage} damage</> to enemies hit.

Cooldown: <time>{cooldown} seconds</>",ranged-healer,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":2,""Value"":8},{""Time"":3,""Value"":7},{""Time"":4,""Value"":7},{""Time"":5,""Value"":6},{""Time"":6,""Value"":6}]}"
slide,Slide,"Quickly slide in the target direction, ignoring collision with enemies.

Cooldown: <time>{cooldown} seconds</>",ranged-healer,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":5}]}"
spearfighter-e,Mark for Death,"Target enemy is marked and takes <penetration>{mitigation-debuff}% Damage</> for <time>{duration} seconds</>.

If a marked target dies, ability cooldowns are reduced:
Mark for Death: <red>Reset</>
Kyru Unleashed!: <time>-{r-cd-reduction} seconds</>

Cost: <mana>{cost} Mana</>
Cooldown: <time>{cooldown} seconds</>",spear-fighter,"{""cooldown"":[{""Time"":1,""Value"":20},{""Time"":6,""Value"":10}],""cost"":[{""Time"":1,""Value"":60},{""Time"":6,""Value"":60}],""duration"":[{""Time"":1,""Value"":2},{""Time"":6,""Value"":3.25}],""mitigation-debuff"":[{""Time"":1,""Value"":150},{""Time"":6,""Value"":150}],""r-cd-reduction"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}]}"
spearfighter-passive,Passive: Spirit of Kyru,"Every third auto-attack hits enemies in an arc. Completing this 3-attack sequence increases attack range and refunds <mana>{mana-refund} Mana</> for every target hit.

The sequence <red>Resets</> and the effect disappears after <time>{duration} seconds</> without an auto-attack.",spear-fighter,"{""cooldown"":[{""Time"":1,""Value"":2},{""Time"":6,""Value"":2}],""duration"":[{""Time"":1,""Value"":2},{""Time"":6,""Value"":2}],""mana-refund"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}]}"
spearfighter-q,Multi Spear,"Attack your previous target (otherwise the nearest target) dealing <damage-wp>{damage} Physical Damage</>.

This ability has {q-stacks} charges, which are regained after the cooldown.

Resets auto-attack sequence.

Cost: <mana>{cost} stack</>
Cooldown: <time>{cooldown} seconds</>",spear-fighter,"{""cooldown"":[{""Time"":1,""Value"":8},{""Time"":6,""Value"":8}],""cost"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}],""q-hits"":[{""Time"":1,""Value"":3},{""Time"":6,""Value"":3}],""q-stacks"":[{""Time"":1,""Value"":3},{""Time"":6,""Value"":3}]}"
spearfighter-r,Kyru Unleashed!,"Turn into the legendary dragon Kyru and launch in a direction, dealing <damage-wp>{projectile-damage} Physical Damage</> to all enemies passed through.

Recast to end dragon form in an explosion that deals <damage-wp>{explosion-damage} Physical Damage</> to nearby enemies and activates Spirit of Kyru.

Cost: <mana>{cost} Mana</>
Cooldown: <time>{cooldown} seconds</>",spear-fighter,"{""cooldown"":[{""Time"":1,""Value"":60},{""Time"":6,""Value"":60}],""cost"":[{""Time"":1,""Value"":100},{""Time"":6,""Value"":100}]}"
spearfighter-w,Range Maker,"Jump forward or back to the maximum melee range to the target, dealing <damage-wp>{damage} Physical Damage</>.

<red>Resets</> auto-attack sequence.

Cost: <mana>{cost} Mana</>
Cooldown: <time>{cooldown} seconds</>",spear-fighter,"{""cooldown"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}],""cost"":[{""Time"":1,""Value"":40},{""Time"":6,""Value"":40}]}"
ashen-incantation,Ashen Incantation,"Send out a cone of fire, dealing <damage-sp>{directdmg} Magical Damage</> to all enemies hit.

Cost: <mana>50 Mana</>
Cooldown: <time>{cooldown} seconds</>",spellcasting-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":6},{""Time"":3,""Value"":6},{""Time"":4,""Value"":4},{""Time"":5,""Value"":4},{""Time"":6,""Value"":3}],""weaken"":[{""Time"":1,""Value"":20},{""Time"":3,""Value"":30},{""Time"":5,""Value"":50},{""Time"":6,""Value"":70}]}"
flame-shield,Burning Heart,"Create a fiery aura around Pyromancer for the next 8 seconds that ignites all nearby enemies in the area.

While the aura is active, Pyromancer gains an additional <defense>25 Armour</>, <mana>100% Mana Regen</> and <damage-sp>{damageamp}% Spell Power</>.

Cost: <mana>50 Mana</>
Cooldown: <time>{cooldown} seconds</>",spellcasting-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":120},{""Time"":4,""Value"":75},{""Time"":6,""Value"":75}],""damageamp"":[{""Time"":1,""Value"":20},{""Time"":3,""Value"":60},{""Time"":6,""Value"":60}]}"
spell-d-p-s-passive,Passive: Burning Touch,"Hitting enemies with your abilities causes them to burn, dealing damage over time and granting Pyromancer <damage-sp>100 Spell Power</> for each burning target. Basic attacks against burning targets refund <mana>10 Mana</>.",spellcasting-d-p-s,
spellbomb-d-p-s,Spellbomb,"Set off a delayed explosion that damages enemies for <damage-sp>{damage} Magical Damage</>.

If enemies walk over the bomb as it powers up, they will catch fire.

Cost: <mana>80 Mana</>
Cooldown: <time>{cooldown} seconds</>",spellcasting-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":14},{""Time"":3,""Value"":14},{""Time"":4,""Value"":10},{""Time"":5,""Value"":10},{""Time"":6,""Value"":8}]}"
vireball,Fireball,"Launch a fire ball in the selected direction, which will damage the first enemy it hits for <damage-sp>{damage} Magical Damage</>.

Cost: <mana>50 Mana</>
Cooldown: <time>{cooldown} seconds</>",spellcasting-d-p-s,"{""cooldown"":[{""Time"":1,""Value"":10},{""Time"":3,""Value"":10},{""Time"":4,""Value"":8},{""Time"":5,""Value"":8},{""Time"":6,""Value"":6}]}"
tech-medic-e,Shield Shot,"Fire an energy shot at an ally granting them <shield>{overshield} Shield</>.

Recast the ability to teleport to the target. Doing so lowers the cooldown of Pick-Me-Up by <time>{q-cdr} seconds</>.

When <red>AMPED</> (50+ Momentum)
Allies are granted a <shield>Shield</> equal to <shield>{overshield-amped}%</> of their maximum health and <red>Recasting</> the ability lowers the cooldown of Pick-Me-Up by <time>{q-cdr-amped} seconds</> instead.

Removes: {momentum} Momentum
Cooldown: <time>{cooldown} seconds</>",tech-medic,"{""cooldown"":[{""Time"":1,""Value"":6},{""Time"":6,""Value"":6}],""momentum"":[{""Time"":1,""Value"":-15},{""Time"":6,""Value"":-15}],""overshield-amped"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":20}],""q-cdr"":[{""Time"":1,""Value"":2},{""Time"":6,""Value"":2}],""q-cdr-amped"":[{""Time"":1,""Value"":3},{""Time"":6,""Value"":3}]}"
tech-medic-q-infused-stimulants,Infused Med-Pack,"Drop a med-pack on the ground that heals allies for <health>{heal-instant} Health</> on pick up.

When <red>AMPED</> (50+ Momentum)
Med-packs explode on pickup, healing nearby allies for <health>{heal-hot} Health</> every {tick-interval} second and damaging enemies for <damage-sp>{explosion-damage} Magical Damage</>.

Enemies are also poisoned for <damage-sp>{poison-dot} Magical Damage</> every {tick-interval} second.

The AMPED Pack can be in 2 different colors, granting a 4 sec bonus to the player that picks it up:
Red: <damage-wp>Physical Power</>
Purple: <damage-sp>Magic Power</>

Generates: {momentum} Momentum
Effect Duration: <time>{duration} seconds</>
Cooldown: <time>{cooldown} seconds</>",tech-medic,"{""cooldown"":[{""Time"":1,""Value"":7},{""Time"":2,""Value"":7},{""Time"":3,""Value"":6},{""Time"":4,""Value"":6},{""Time"":5,""Value"":5},{""Time"":6,""Value"":5}],""duration"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}],""lifetime"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":10}],""momentum"":[{""Time"":1,""Value"":20},{""Time"":6,""Value"":20}],""tick-interval"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}]}"
tech-medic-passive,Passive: Defibrillator,"Interacting with a Dead team mate will cause Tech Medic to revive the player after a short delay.

When Tech-Medic has 50+ Momentum he becomes <red>AMPED</>, modifying the effects his abilities.

When Tech-Medic has 90+ Momentum he becomes <yellow>SILENCED</>, preventing casting abilities with a cost.

Cooldown: <time>{cooldown} seconds</>",tech-medic,"{""cooldown"":[{""Time"":1,""Value"":90},{""Time"":6,""Value"":90}]}"
tech-medic-q,Med-Pack,"Drop a med-pack on the ground that heals allies for <health>{heal-instant} Health</> on pick up.

When <red>AMPED</> (50+ Momentum)
Med-packs explode on pickup, healing nearby allies for <health>{heal-hot} Health</> every {tick-interval} second and damaging enemies for <damage-sp>{explosion-damage} Magical Damage</>.

Enemies are also poisoned for <damage-sp>{poison-dot} Magical Damage</> every {tick-interval} second.

Generates: {momentum} Momentum
Effect Duration: <time>{duration} seconds</>
Cooldown: <time>{cooldown} seconds</>",tech-medic,"{""cooldown"":[{""Time"":1,""Value"":7},{""Time"":2,""Value"":7},{""Time"":3,""Value"":6},{""Time"":4,""Value"":6},{""Time"":5,""Value"":5},{""Time"":6,""Value"":5}],""duration"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}],""lifetime"":[{""Time"":1,""Value"":10},{""Time"":6,""Value"":10}],""momentum"":[{""Time"":1,""Value"":20},{""Time"":6,""Value"":20}],""tick-interval"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}]}"
tech-medic-r,Emergency Shelter,"Instantly generate a protective dome around Tech-Medic, dealing <damage-sp>{damage} Magical Damage</> and knocking back nearby enemies.

The dome <yellow>Blocks</> enemies and projectiles until Tech-Medic runs out of Momentum.

Cost: {cost} Momentum
Minimum Duration: {minimum-duration} seconds
Cooldown: <time>{cooldown} seconds</>

<hint-text>The dome cannot last longer than {maxduration} seconds.</>",tech-medic,"{""cooldown"":[{""Time"":1,""Value"":60},{""Time"":6,""Value"":60}],""cost"":[{""Time"":1,""Value"":20},{""Time"":6,""Value"":20}],""maxduration"":[{""Time"":1,""Value"":15},{""Time"":6,""Value"":15}],""minimum-duration"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}]}"
tech-medic-w,Gas Grenade,"Launch a grenade that releases gas on impact, applying <yellow>Daze</> and poison to enemies, dealing <damage-sp>{tick-damage} Magical Damage</> every {tick-interval} second and reducing their <health>Healing Received by {heal-debuff}%</>.

When <red>AMPED</> (50+  Momentum)
Poisoned enemies instead take <damage-sp>{tick-damage-amped} Magical Damage</> every {tick-interval} second.

Generates: {momentum} Momentum
Effect Duration: <time>{duration} seconds</>
Cooldown: <time>{cooldown} seconds</>",tech-medic,"{""cooldown"":[{""Time"":1,""Value"":7},{""Time"":6,""Value"":7}],""duration"":[{""Time"":1,""Value"":5},{""Time"":6,""Value"":5}],""heal-debuff"":[{""Time"":1,""Value"":25},{""Time"":6,""Value"":25}],""momentum"":[{""Time"":1,""Value"":35},{""Time"":6,""Value"":35}],""tick-interval"":[{""Time"":1,""Value"":1},{""Time"":6,""Value"":1}]}"
